telescopes,bjd_alt,bjd,RA_move,DEC_move,fwhm,PWV,diff_flux_pwv,diff_flux,diff_flux_use,diff_flux_use_key,diff_error
Ganymede,0.0,2458667.4659508816,2.4188303033588454,1.0552779702411499,5.619999885559082,2.114209001356862,1.0015545017466785,1.0002018473743288,1.0015545017466785,0.0,0.0031780168775952396
Ganymede,0.0005633002147078514,2458667.466514182,2.420685303863138,1.4184093145595398,5.789999961853027,2.116642499858346,1.0039569440982432,1.0025850610458091,1.0039569440982432,0.0,0.0031144215013200805
Ganymede,0.0011265999637544155,2458667.4670774816,2.2964105582796037,1.4463016750232782,6.010000228881836,2.1190243201322483,1.001673280400066,1.00028933171762,1.001673280400066,0.0,0.003078987835887449
Ganymede,0.0016919998452067375,2458667.4676428814,1.9734016335569322,1.309683150233468,6.099999904632568,2.1198059201304456,0.9987584916262023,0.9973701446751331,0.9987584916262023,0.0,0.00304497171242679
Ganymede,0.0022538001649081707,2458667.4682046818,1.7406247085891664,0.931944018782815,5.590000152587891,2.120582560186373,1.0048212790645068,1.003416282518577,1.0048212790645068,0.0,0.0030387339645807023
Ganymede,0.0028164000250399113,2458667.4687672816,1.8968356526456773,1.1324612559692468,5.53000020980835,2.1179720998511713,0.996311279056847,0.9949232572588194,0.996311279056847,0.0,0.0029835568855343547
Ganymede,0.003378999885171652,2458667.4693298815,1.8283476955257356,1.6718265475647058,5.920000076293945,2.1114362987961846,1.0004317187462144,0.9990582114729374,1.0004317187462144,0.0,0.0029722789637569246
Ganymede,0.003943100105971098,2458667.4698939817,1.878589232917875,1.558740249456605,6.179999828338623,2.1049184373717567,1.0022480477974993,1.0008922205336384,1.0022480477974993,0.0,0.002961285109772299
Ganymede,0.004508600104600191,2458667.4704594817,1.6460706791840494,1.5014659302250948,6.21999979019165,2.100337811672706,1.0039529535146416,1.00260767752511,1.0039529535146416,0.0,0.002945104393690653
Ganymede,0.005070299841463566,2458667.4710211814,1.815160637255758,1.8314544694439974,5.670000076293945,2.0957871873214655,1.0048088616808384,1.0034754867965843,1.0048088616808384,0.0,0.0029181747289180287
Ganymede,0.005632900167256594,2458667.4715837818,1.9716322771273553,1.9726687656657305,5.940000057220459,2.0912299999396504,1.0035767322090716,1.002258510675549,1.0035767322090716,0.0,0.0028941549138087443
Ganymede,0.006194800138473511,2458667.4721456817,1.7461815825663507,2.334027289034566,6.179999828338623,2.0866784363961033,0.9982735831178405,0.9969763227348045,0.9982735831178405,0.0,0.0028597762825739452
Ganymede,0.006761699914932251,2458667.4727125815,1.6794143370352685,2.244501798035344,6.090000152587891,2.0820865630205163,1.0079376496643042,1.0066428779404575,1.0079376496643042,0.0,0.0028757064578736015
Ganymede,0.007325800135731697,2458667.4732766817,1.8353226534090936,2.234008193569025,6.099999904632568,2.0775171849980016,0.9946997010054087,0.9934372761345366,0.9946997010054087,0.0,0.0028241071673570225
Ganymede,0.007887700106948614,2458667.4738385817,1.6552364281378686,2.2386708162666764,5.860000133514404,2.0729656252263116,1.0035476563831263,1.0022895733018697,1.0035476563831263,0.0,0.0028400458858038034
Ganymede,0.008454599883407354,2458667.4744054815,1.763477189000696,2.7146983049751725,5.260000228881836,2.0683737480788675,0.995741561513888,0.9945090097463553,0.995741561513888,0.0,0.0028056891976130168
Ganymede,0.009016099851578474,2458667.4749669814,1.5666555589996278,2.743980705359718,5.900000095367432,2.063824998340383,0.9986056962378231,0.9973852990510437,0.9986056962378231,0.0,0.002800687140869771
Ganymede,0.009577999822795391,2458667.4755288814,1.1859773225151002,2.4964698102266993,5.559999942779541,2.057264695829041,0.9984692478520159,0.9972724177411173,0.9984692478520159,0.0,0.002788951020468579
Ganymede,0.010140600148588419,2458667.4760914817,1.0389248258434236,2.7229753728897776,5.789999961853027,2.040108226459136,1.0065012896851873,1.0053589730401755,1.0065012896851873,0.0,0.00280044417871108
Ganymede,0.010702400002628565,2458667.4766532816,1.0628719660453498,2.347776472190162,5.710000038146973,2.022976464967927,1.0026861481486642,1.0016115358345559,1.0026861481486642,0.0,0.002779211230329077
Ganymede,0.011268700007349253,2458667.4772195816,0.9403222310356796,2.334172360220691,5.840000152587891,2.01916100094682,0.9979269033257897,0.9968689263133307,0.9979269033257897,0.0,0.0027570097403570356
Ganymede,0.011832000222057104,2458667.477782882,0.826706092339009,2.320648941764375,5.579999923706055,2.020783333825072,1.0031642494092983,1.0020906951788284,1.0031642494092983,0.0,0.002762801415876055
Ganymede,0.012393900193274021,2458667.478344782,0.8777064452879131,2.653398308524629,5.769999980926514,2.0258838915208517,0.9996388707348715,0.9985449144873151,0.9996388707348715,0.0,0.0027480307112665685
Ganymede,0.012960799969732761,2458667.4789116816,0.8266129302792251,2.2909528944583144,5.619999885559082,2.041670836503216,1.0048700257895489,1.0037039438825508,1.0048700257895489,0.0,0.0027563179772935407
Ganymede,0.013523399829864502,2458667.4794742814,0.7493594097904861,2.1849890980811324,5.389999866485596,2.0573385175323327,0.9996420492607305,0.9984168811078882,0.9996420492607305,0.0,0.0027305603188306528
Ganymede,0.014085299801081419,2458667.4800361814,0.6917608487419784,2.3973264131636824,5.409999847412109,2.0538719121066875,1.0019971190163668,1.0007772165040545,1.0019971190163668,0.0,0.002729479748174922
Ganymede,0.01464860001578927,2458667.4805994816,0.6275671082548797,2.151423651346704,5.769999980926514,2.0445434980567394,1.0051433014400801,1.0039501167642646,1.0051433014400801,0.0,0.0027356827507362077
Ganymede,0.015211199875921011,2458667.4811620815,0.646299400832504,2.315138626465341,5.369999885559082,2.0331968033557293,1.0005653950998656,0.9994155791373314,1.0005653950998656,0.0,0.0027184825000718584
Ganymede,0.015777899883687496,2458667.4817287815,0.5421642153523862,2.649696308741113,5.559999942779541,2.0169416258385753,1.0036192734097313,1.0025225520843277,1.0036192734097313,0.0,0.0027204514402337436
Ganymede,0.016344800125807524,2458667.4822956817,0.7638094215653837,2.251045632729074,5.300000190734863,2.000683136269372,0.9996623894835419,0.9986262584248407,0.9996623894835419,0.0,0.0027059038939748984
Ganymede,0.016908899880945683,2458667.4828597815,0.5213494091294706,2.2238427583070006,5.46999979019165,1.9845042962099382,1.0017519795870475,1.0007695765774074,1.0017519795870475,0.0,0.0027069725312252415
Ganymede,0.017474399879574776,2458667.4834252815,0.4625157876871526,2.23779499399825,5.429999828338623,1.9682856313956196,1.004531127026969,1.0036019418620825,1.004531127026969,0.0,0.002709511038579994
Ganymede,0.018037000205367804,2458667.483987882,0.32604861399158835,2.260235813067993,5.570000171661377,1.9521499548532164,1.0001828387320821,0.9993127221719997,1.0001828387320821,0.0,0.0026963737964006873
Ganymede,0.01859880005940795,2458667.4845496817,0.2962751197628677,2.250511564867338,5.710000038146973,1.9360375160953534,0.998848251102893,0.9980337875549943,0.998848251102893,0.0,0.0026873236827412543
Ganymede,0.01916040014475584,2458667.4851112817,0.18206178722903132,2.4395201137231197,5.670000076293945,1.91992838938954,0.9959956177398995,0.9952373425749566,0.9959956177398995,0.0,0.0026751251949748154
Ganymede,0.01972300000488758,2458667.4856738816,0.4104604381136596,2.3729225179122295,5.46999979019165,1.9037927128471368,0.9949945796176524,0.9942905047399165,0.9949945796176524,0.0,0.0026651776786054664
Ganymede,0.020284899976104498,2458667.4862357816,0.16063992260023952,2.630500056402525,5.769999980926514,1.8876769486821758,1.0039227220849887,1.003265658032551,1.0039227220849887,0.0,0.002681868421742849
Ganymede,0.020846799947321415,2458667.4867976815,0.09468610165640712,2.5596926813886967,5.420000076293945,1.8567752270927966,0.9970792436124493,0.9965355918034203,0.9970792436124493,0.0,0.0026551230576763838
Ganymede,0.021409399807453156,2458667.4873602814,0.13146197004243731,2.370015129999956,5.409999847412109,1.8085669218423055,0.9983504570631605,0.9979814651272997,0.9983504570631605,0.0,0.002652809684982102
Ganymede,0.021976300049573183,2458667.4879271816,0.06659530801698565,2.5167441224621143,5.5,1.7599917302610733,0.9985328776361496,0.9983416837116251,0.9985328776361496,0.0,0.0026503095966422144
Ganymede,0.02253880025818944,2458667.488489682,0.12394448695704341,2.641534641938051,5.800000190734863,1.7340099862000338,1.003843991959926,1.0037440388243084,1.003843991959926,0.0,0.002661610124362097
Ganymede,0.023100600112229586,2458667.4890514817,0.34893641946837306,2.3095680629776325,5.650000095367432,1.708526489833086,1.001650516516789,1.001640747790328,1.001650516516789,0.0,0.0026519803287335534
Ganymede,0.023667499888688326,2458667.4896183815,0.10156015632674098,2.420454733626684,5.980000019073486,1.6918116633183755,1.0011359011730947,1.001181525493241,1.0011359011730947,0.0,0.0026478243124583092
Ganymede,0.024230100214481354,2458667.490180982,0.004577386658638716,2.6701318105624523,5.920000076293945,1.6837099968618152,0.994797825736308,0.9948635651415287,0.994797825736308,0.0,0.0026263041524474955
Ganymede,0.0247919000685215,2458667.4907427817,0.12559504387900233,2.3555032988952007,5.75,1.6752399960303304,1.0019888920212427,1.0020757137834333,1.0019888920212427,0.0,0.002642710526989214
Ganymede,0.02535449992865324,2458667.4913053815,0.20683392463251948,2.38023388813599,5.889999866485596,1.6590366631172098,0.9988563707070806,0.9989911909395153,0.9988563707070806,0.0,0.002630351972095352
Ganymede,0.02591610001400113,2458667.4918669816,0.20205265283584595,2.7269571764336433,5.940000057220459,1.642863330713709,1.0018476749365488,1.0020312851215016,1.0018476749365488,0.0,0.002632344331437578
Ganymede,0.02648240001872182,2458667.4924332816,0.0,2.622929614590248,5.860000133514404,1.6892268437172577,0.9978350557313145,0.9978353336491588,0.9978350557313145,0.0,0.002616770718528248
Ganymede,0.027044800110161304,2458667.4929956817,-0.09922430664300919,2.643641822593054,6.039999961853027,1.7805050301562566,0.999480456736902,0.9991392087163233,0.999480456736902,0.0,0.0026145506404471326
Ganymede,0.02760670008137822,2458667.4935575817,0.15898092836141586,2.7734459718631115,5.710000038146973,1.8716892906492446,0.9999444299791704,0.9992671253846935,0.9999444299791704,0.0,0.0026078892867492476
Ganymede,0.02816959982737899,2458667.4941204814,0.15080963261425495,2.6256037583516445,5.539999961853027,1.9630237722047186,1.0033297551455687,1.002317093588784,1.0033297551455687,0.0,0.0026097861436159705
Ganymede,0.02873140014708042,2458667.4946822817,0.048520730808377266,2.771331750409445,5.559999942779541,2.0541892172829384,0.9983979454409779,0.997063014270512,0.9983979454409779,0.0,0.0025921700015630756
Ganymede,0.029298400040715933,2458667.4952492816,0.1443126816302538,2.527545892255148,5.650000095367432,1.9867776258598584,1.0031682361791145,1.002060207216146,1.0031682361791145,0.0,0.0025996481421811345
Ganymede,0.029866000171750784,2458667.495816882,0.12701523303985596,2.787735455291113,5.849999904632568,1.8465190219559817,1.0056488130702164,1.0050229995363618,1.0056488130702164,0.0,0.0026028019412506643
Ganymede,0.03042940003797412,2458667.4963802816,0.2491794377565384,2.8314800603257027,6.059999942779541,1.7409789956199524,1.0026600628422488,1.0024034396382022,1.0026600628422488,0.0,0.0025919264914158633
Ganymede,0.030991199892014265,2458667.4969420815,0.0839889794588089,2.9392451463209,5.800000190734863,1.7595860083899504,1.0000439707743964,0.9997135232136448,1.0000439707743964,0.0,0.002580512781970811
Ganymede,0.03155460022389889,2458667.497505482,0.05970560945570469,3.0179847596155014,5.650000095367432,1.7782466767428327,0.9971190347585419,0.9967159552519694,0.9971190347585419,0.0,0.0025697960393913505
Ganymede,0.03212000010535121,2458667.4980708817,-0.03527914546430111,3.296105634974083,5.949999809265137,1.8028818276219456,1.000437171497333,0.9999385812412106,1.000437171497333,0.0,0.0025754977398790317
Ganymede,0.03268190007656813,2458667.4986327817,-0.024357822723686695,2.826400977181038,5.730000019073486,1.8293636530493562,0.9988959467849043,0.9982985515040563,0.9988959467849043,0.0,0.0025668636078950073
Ganymede,0.0332439998164773,2458667.4991948814,0.12376585882157087,3.014616560743889,5.800000190734863,1.8507807555515023,1.0018037590562952,1.0011236138171946,1.0018037590562952,0.0,0.0025694486558610684
Ganymede,0.033807999920099974,2458667.4997588815,0.11861085379496217,3.0672822227643337,5.860000133514404,1.8576841685285668,0.9964954089424444,0.9957898901167676,0.9964954089424444,0.0,0.0025515400946099546
Ganymede,0.03437490016222,2458667.5003257818,0.486668820027262,3.1404521619842853,5.360000133514404,1.8646230051069261,0.9989357358939439,0.9981999970528319,0.9989357358939439,0.0,0.0025532537416607746
Ganymede,0.03493899991735816,2458667.5008898815,0.4463655077852309,3.02777145858272,5.360000133514404,1.8780311712834734,0.9959808931254791,0.9951969936333336,0.9959808931254791,0.0,0.002542006895917074
Ganymede,0.03550449991598725,2458667.5014553815,0.34035626286640763,2.984861571894726,5.440000057220459,1.8930963351982504,1.0046871415147494,1.0038405620267608,1.0046871415147494,0.0,0.002559690920329702
Ganymede,0.03606710024178028,2458667.502017982,0.4119728305377066,3.0951248077617493,5.25,1.904590229977499,0.9971257867853063,0.9962433481740552,0.9971257867853063,0.0,0.002537110153766409
Ganymede,0.03663410013541579,2458667.5025849817,0.468137274030596,3.1883943272696342,5.300000190734863,1.9093146324036667,1.0032857901078005,1.0023798149753522,1.0032857901078005,0.0,0.00254868012640082
Ganymede,0.03719750000163913,2458667.5031483816,0.5829093107022345,3.3073689235316124,4.949999809265137,1.9140091400070125,1.0020903538017336,1.0011682658906604,1.0020903538017336,0.0,0.002541289771465887
Ganymede,0.037759299855679274,2458667.5037101815,0.5210424759425223,3.224326570139965,5.059999942779541,1.9186901454710437,1.0005568512582004,0.999620084885564,1.0005568512582004,0.0,0.0025329914150831324
Ganymede,0.03832559986039996,2458667.5042764815,0.5233223545365036,3.347894076810917,5.010000228881836,1.9234087629289016,1.000242786567373,0.999291070350659,1.000242786567373,0.0,0.002526361077015077
Ganymede,0.03889380022883415,2458667.504844682,0.6417422774247825,3.1152827782498207,4.489999771118164,1.9281437730702666,0.9990387974105477,0.9980738593067853,0.9990387974105477,0.0,0.002516915114825042
Ganymede,0.03945640008896589,2458667.5054072817,0.7086804541759193,3.113091548293596,4.659999847412109,1.932831529603955,0.9986109465486182,0.9976330064540322,0.9986109465486182,0.0,0.002511512484416586
Ganymede,0.040017500054091215,2458667.5059683817,0.7862965199165046,3.165354301541811,4.829999923706055,1.937506750099676,1.0004128783798334,0.9994205346776638,1.0004128783798334,0.0,0.0025112504174180958
Ganymede,0.040582300163805485,2458667.5065331818,0.7645584191195667,3.12432119375444,4.869999885559082,1.9422128315195668,1.001912319447851,1.0009063947587933,1.001912319447851,0.0,0.0025120303773643834
Ganymede,0.041146399918943644,2458667.5070972815,0.8346798638813198,3.11037587778992,4.78000020980835,1.9469131240912225,1.0008277651284834,0.9998114965468706,1.0008277651284834,0.0,0.0025041241288144694
Ganymede,0.04171330016106367,2458667.5076641818,0.8547454192303121,3.16036641257233,4.71999979019165,1.9526453368452392,1.0005342916605706,0.9995038546521617,1.0005342916605706,0.0,0.002499110980618752
Ganymede,0.04227809980511665,2458667.5082289814,0.8724198932759464,3.3755545284075197,4.579999923706055,1.959152000793934,0.9995689249018036,0.9985228814359209,0.9995689249018036,0.0,0.002493950197373034
Ganymede,0.04284559981897473,2458667.5087964814,0.9021546128205955,3.327148396841949,4.619999885559082,1.9640471063222615,1.0001571549357322,0.9990994652662775,1.0001571549357322,0.0,0.0024923020199082695
Ganymede,0.043413800187408924,2458667.509364682,0.9348248126916587,3.219103169016307,4.599999904632568,1.9550167161159522,1.0010790956563047,1.0000572253222477,1.0010790956563047,0.0,0.0024924144504550523
Ganymede,0.04398149996995926,2458667.5099323816,0.855368900578469,3.211387209914392,4.769999980926514,1.945993690020007,0.9987140121873233,0.9977311565114496,0.9987140121873233,0.0,0.002481717997335154
Ganymede,0.044547699857503176,2458667.5104985815,0.6468308749608696,3.121657409094041,4.650000095367432,1.9369945769296755,0.9970334212474481,0.9960885668346356,0.9970334212474481,0.0,0.0024709499738326517
Ganymede,0.04511230019852519,2458667.511063182,0.6031215297989547,3.2283512729627546,4.800000190734863,1.9280193768449576,0.9965202430307232,0.9956120076184185,0.9965202430307232,0.0,0.002464089402953738
Ganymede,0.04568069986999035,2458667.5116315815,0.5428453232161701,3.054864727280801,4.849999904632568,1.9189853082840245,1.0014418145888186,1.0005654500576753,1.0014418145888186,0.0,0.002476140188436717
Ganymede,0.04624770022928715,2458667.512198582,0.5102086621336639,3.1360731277090963,5.039999961853027,1.909973317251951,0.9977266551935805,0.9968894942402536,0.9977266551935805,0.0,0.002466419480469434
Ganymede,0.04681470012292266,2458667.5127655817,0.45979252038523555,3.002955586038297,5.440000057220459,1.9009613262198777,1.0017998298011295,1.0009951380026028,1.0017998298011295,0.0,0.0024756399394907716
Ganymede,0.0473815998993814,2458667.5133324815,0.5233107241801918,2.965689376316732,5.119999885559082,1.8919511780656744,0.9989202009314673,0.998153369545495,0.9989202009314673,0.0,0.002460702445296232
Ganymede,0.04794930014759302,2458667.5139001817,0.4517294797115028,2.9796065402624663,5.260000228881836,1.882928144568613,1.0032802213454814,1.0025455195799342,1.0032802213454814,0.0,0.0024690984103811348
Ganymede,0.04851390002295375,2458667.5144647816,0.6900310250930488,2.9485323981789406,4.940000057220459,1.8739529444838954,0.9981623244105143,0.9974662298420613,0.9981623244105143,0.0,0.002451950908039351
Ganymede,0.049080099910497665,2458667.5150309815,0.3885341319255531,3.01268645687378,5.0,1.8649538313935639,1.000448779512318,0.9997858248352318,1.000448779512318,0.0,0.002456649603447963
Ganymede,0.049644900020211935,2458667.5155957816,0.5245560589246452,2.9499431209114846,5.050000190734863,1.8559767884309761,0.9972370677940147,0.9966104813512637,0.9972370677940147,0.0,0.002449402733316669
